studentId,courseId,academicYear,term,grade,gradePoint,attemptNo
S030,C245,2024,Fall,D,1.0,1

S031,C201,2024,Spring,B,3.0,1
S031,C202,2024,Spring,C,2.0,1
S031,C203,2024,Spring,B+,3.5,1

S032,C204,2024,Summer,A-,3.7,1
S032,C205,2024,Summer,B+,3.5,1
S032,C206,2024,Summer,B,3.0,1

S033,C207,2024,Fall,B,3.0,1
S033,C208,2024,Fall,B,3.0,1
S033,C209,2024,Fall,C,2.0,1

S034,C210,2024,Spring,A,4.0,1
S034,C211,2024,Spring,B,3.0,1
S034,C212,2024,Spring,C,2.0,1

S035,C213,2024,Summer,B+,3.5,1
S035,C214,2024,Summer,C,2.0,1
S035,C215,2024,Summer,C,2.0,1

S036,C216,2024,Fall,A,4.0,1
S036,C217,2024,Fall,A-,3.7,1
S036,C218,2024,Fall,B+,3.5,1

S037,C219,2024,Spring,B,3.0,1
S037,C220,2024,Spring,C,2.0,1
S037,C221,2024,Spring,C,2.0,1

S038,C222,2024,Summer,F,0.0,1
S038,C223,2024,Summer,D,1.0,1
S038,C224,2024,Summer,C,2.0,1

S039,C225,2024,Fall,D,1.0,1
S039,C226,2024,Fall,D,1.0,1
S039,C227,2024,Fall,C,2.0,1

S040,C228,2024,Spring,F,0.0,1
S040,C229,2024,Spring,D,1.0,1
S040,C230,2024,Spring,D,1.0,1

S041,C231,2024,Summer,B,3.0,1
S041,C232,2024,Summer,C,2.0,1
S041,C233,2024,Summer,B+,3.5,1

S042,C234,2024,Fall,A-,3.7,1
S042,C235,2024,Fall,B+,3.5,1
S042,C236,2024,Fall,B,3.0,1

S043,C237,2024,Spring,B,3.0,1
S043,C238,2024,Spring,B,3.0,1
S043,C239,2024,Spring,C,2.0,1

S044,C240,2024,Summer,A,4.0,1
S044,C241,2024,Summer,B,3.0,1
S044,C242,2024,Summer,C,2.0,1

S045,C243,2024,Fall,B+,3.5,1
S045,C244,2024,Fall,C,2.0,1
S045,C245,2024,Fall,C,2.0,1

S046,C201,2024,Spring,A,4.0,1
S046,C202,2024,Spring,A-,3.7,1
S046,C203,2024,Spring,B+,3.5,1

S047,C204,2024,Summer,B,3.0,1
S047,C205,2024,Summer,C,2.0,1
S047,C206,2024,Summer,C,2.0,1

S048,C207,2024,Fall,F,0.0,1
S048,C208,2024,Fall,D,1.0,1
S048,C209,2024,Fall,C,2.0,1

S049,C210,2024,Spring,D,1.0,1
S049,C211,2024,Spring,D,1.0,1
S049,C212,2024,Spring,C,2.0,1

S050,C213,2024,Summer,F,0.0,1
S050,C214,2024,Summer,D,1.0,1
S050,C215,2024,Summer,D,1.0,1

S051,C216,2024,Fall,B,3.0,1
S051,C217,2024,Fall,C,2.0,1
S051,C218,2024,Fall,B+,3.5,1

S052,C219,2024,Spring,A-,3.7,1
S052,C220,2024,Spring,B+,3.5,1
S052,C221,2024,Spring,B,3.0,1

S053,C222,2024,Summer,B,3.0,1
S053,C223,2024,Summer,B,3.0,1
S053,C224,2024,Summer,C,2.0,1

S054,C225,2024,Fall,A,4.0,1
S054,C226,2024,Fall,B,3.0,1
S054,C227,2024,Fall,C,2.0,1

S055,C228,2024,Spring,B+,3.5,1
S055,C229,2024,Spring,C,2.0,1
S055,C230,2024,Spring,C,2.0,1

S056,C231,2024,Summer,A,4.0,1
S056,C232,2024,Summer,A-,3.7,1
S056,C233,2024,Summer,B+,3.5,1

S057,C234,2024,Fall,B,3.0,1
S057,C235,2024,Fall,C,2.0,1
S057,C236,2024,Fall,C,2.0,1

S058,C237,2024,Spring,F,0.0,1
S058,C238,2024,Spring,D,1.0,1
S058,C239,2024,Spring,C,2.0,1

S059,C240,2024,Summer,D,1.0,1
S059,C241,2024,Summer,D,1.0,1
S059,C242,2024,Summer,C,2.0,1

S060,C243,2024,Fall,F,0.0,1
S060,C244,2024,Fall,D,1.0,1
S060,C245,2024,Fall,D,1.0,1

S061,C201,2024,Spring,B,3.0,1
S061,C202,2024,Spring,C,2.0,1
S061,C203,2024,Spring,B+,3.5,1

S062,C204,2024,Summer,A-,3.7,1
S062,C205,2024,Summer,B+,3.5,1
S062,C206,2024,Summer,B,3.0,1

S063,C207,2024,Fall,B,3.0,1
S063,C208,2024,Fall,B,3.0,1
S063,C209,2024,Fall,C,2.0,1

S064,C210,2024,Spring,A,4.0,1
S064,C211,2024,Spring,B,3.0,1
S064,C212,2024,Spring,C,2.0,1

S065,C213,2024,Summer,B+,3.5,1
S065,C214,2024,Summer,C,2.0,1
S065,C215,2024,Summer,C,2.0,1

S066,C216,2024,Fall,A,4.0,1
S066,C217,2024,Fall,A-,3.7,1
S066,C218,2024,Fall,B+,3.5,1

S067,C219,2024,Spring,B,3.0,1
S067,C220,2024,Spring,C,2.0,1
S067,C221,2024,Spring,C,2.0,1

S068,C222,2024,Summer,F,0.0,1
S068,C223,2024,Summer,D,1.0,1
S068,C224,2024,Summer,C,2.0,1

S069,C225,2024,Fall,D,1.0,1
S069,C226,2024,Fall,D,1.0,1
S069,C227,2024,Fall,C,2.0,1

S070,C228,2024,Spring,F,0.0,1
S070,C229,2024,Spring,D,1.0,1
S070,C230,2024,Spring,D,1.0,1

S071,C231,2024,Summer,B,3.0,1
S071,C232,2024,Summer,C,2.0,1
S071,C233,2024,Summer,B+,3.5,1

S072,C234,2024,Fall,A-,3.7,1
S072,C235,2024,Fall,B+,3.5,1
S072,C236,2024,Fall,B,3.0,1

S073,C237,2024,Spring,B,3.0,1
S073,C238,2024,Spring,B,3.0,1
S073,C239,2024,Spring,C,2.0,1

S074,C240,2024,Summer,A,4.0,1
S074,C241,2024,Summer,B,3.0,1
S074,C242,2024,Summer,C,2.0,1

S075,C243,2024,Fall,B+,3.5,1
S075,C244,2024,Fall,C,2.0,1
S075,C245,2024,Fall,C,2.0,1

S076,C201,2024,Spring,A,4.0,1
S076,C202,2024,Spring,A-,3.7,1
S076,C203,2024,Spring,B+,3.5,1

S077,C204,2024,Summer,B,3.0,1
S077,C205,2024,Summer,C,2.0,1
S077,C206,2024,Summer,C,2.0,1

S078,C207,2024,Fall,F,0.0,1
S078,C208,2024,Fall,D,1.0,1
S078,C209,2024,Fall,C,2.0,1

S079,C210,2024,Spring,D,1.0,1
S079,C211,2024,Spring,D,1.0,1
S079,C212,2024,Spring,C,2.0,1

S080,C213,2024,Summer,F,0.0,1
S080,C214,2024,Summer,D,1.0,1
S080,C215,2024,Summer,D,1.0,1

S081,C216,2024,Fall,B,3.0,1
S081,C217,2024,Fall,C,2.0,1
S081,C218,2024,Fall,B+,3.5,1

S082,C219,2024,Spring,A-,3.7,1
S082,C220,2024,Spring,B+,3.5,1
S082,C221,2024,Spring,B,3.0,1

S083,C222,2024,Summer,B,3.0,1
S083,C223,2024,Summer,B,3.0,1
S083,C224,2024,Summer,C,2.0,1

S084,C225,2024,Fall,A,4.0,1
S084,C226,2024,Fall,B,3.0,1
S084,C227,2024,Fall,C,2.0,1

S085,C228,2024,Spring,B+,3.5,1
S085,C229,2024,Spring,C,2.0,1
S085,C230,2024,Spring,C,2.0,1

S086,C231,2024,Summer,A,4.0,1
S086,C232,2024,Summer,A-,3.7,1
S086,C233,2024,Summer,B+,3.5,1

S087,C234,2024,Fall,B,3.0,1
S087,C235,2024,Fall,C,2.0,1
S087,C236,2024,Fall,C,2.0,1

S088,C237,2024,Spring,F,0.0,1
S088,C238,2024,Spring,D,1.0,1
S088,C239,2024,Spring,C,2.0,1

S089,C240,2024,Summer,D,1.0,1
S089,C241,2024,Summer,D,1.0,1
S089,C242,2024,Summer,C,2.0,1

S090,C243,2024,Fall,F,0.0,1
S090,C244,2024,Fall,D,1.0,1
S090,C245,2024,Fall,D,1.0,1

S091,C201,2024,Spring,B,3.0,1
S091,C202,2024,Spring,C,2.0,1
S091,C203,2024,Spring,B+,3.5,1

S092,C204,2024,Summer,A-,3.7,1
S092,C205,2024,Summer,B+,3.5,1
S092,C206,2024,Summer,B,3.0,1

S093,C207,2024,Fall,B,3.0,1
S093,C208,2024,Fall,B,3.0,1
S093,C209,2024,Fall,C,2.0,1

S094,C210,2024,Spring,A,4.0,1
S094,C211,2024,Spring,B,3.0,1
S094,C212,2024,Spring,C,2.0,1

S095,C213,2024,Summer,B+,3.5,1
S095,C214,2024,Summer,C,2.0,1
S095,C215,2024,Summer,C,2.0,1

S096,C216,2024,Fall,A,4.0,1
S096,C217,2024,Fall,A-,3.7,1
S096,C218,2024,Fall,B+,3.5,1

S097,C219,2024,Spring,B,3.0,1
S097,C220,2024,Spring,C,2.0,1
S097,C221,2024,Spring,C,2.0,1

S098,C222,2024,Summer,F,0.0,1
S098,C223,2024,Summer,D,1.0,1
S098,C224,2024,Summer,C,2.0,1

S099,C225,2024,Fall,D,1.0,1
S099,C226,2024,Fall,D,1.0,1
S099,C227,2024,Fall,C,2.0,1

S100,C228,2024,Spring,D,1.0,1
S100,C229,2024,Spring,D,1.0,1
S100,C230,2024,Spring,C,2.0,1
